Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
280,1483137657.943388, e        ,4.960378,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x2318,0x6834,Status,10,26,610,1590,0.076923,885.416382,2465.940918,0,0,0,0,0,0,512.672312,193.049156,488.522187,261.606031,CON,1868800,2048
281,1483137660.088748, e        ,4.756378,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x8ac7,0xe920,Status,17,19,1044,1194,0.076923,1653.358887,1903.969727,0,0,0,0,0,0,308.005281,263.121094,432.899063,250.500219,CON,1868800,2048
282,1483137663.679566, e        ,4.265101,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x2d18,0x9534,Status,10,25,610,1530,0.076923,1029.752930,2755.386230,0,0,0,0,0,0,515.662406,201.636047,485.697125,328.847250,CON,1868800,2048
283,1483137665.327212, e        ,4.518275,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x9ec7,0x1721,Status,20,21,1234,1326,0.076923,2076.898926,2236.251709,0,0,0,0,0,0,268.609312,238.112422,406.126125,276.582625,CON,1868800,2048
284,1483137668.835504, e        ,4.987244,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x3718,0xc334,Status,10,26,610,1590,0.076923,880.646667,2452.657227,0,0,0,0,0,0,518.111813,226.080031,482.951906,346.041219,CON,1868800,2048
285,1483137670.699634, e        ,4.340352,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xb2c7,0x4421,Status,20,21,1234,1326,0.076923,2162.036621,2327.921875,0,0,0,0,0,0,265.221750,245.464141,407.602438,378.745344,CON,1868800,2048
286,1483137673.850673, e        ,4.994821,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x4118,0xf234,Status,10,26,610,1590,0.076923,879.310791,2448.936523,0,0,0,0,0,0,513.729406,193.182531,487.165906,264.886906,CON,1868800,2048
287,1483137675.822537, e        ,4.999870,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xc2c7,0x6e21,Status,16,20,990,1254,0.076923,1486.438721,1907.249634,0,0,0,0,0,0,328.476375,291.108656,442.959500,300.718156,CON,1868800,2048
288,1483137678.882318, e        ,4.999891,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x4b18,0x2035,Status,10,26,610,1590,0.076923,878.419189,2446.453369,0,0,0,0,0,0,517.226406,193.719812,484.021625,218.018391,CON,1868800,2048
289,1483137680.844231, e        ,4.981636,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xd4c7,0x9921,Status,18,20,1112,1260,0.076923,1687.798950,1922.260010,0,0,0,0,0,0,291.582219,250.173000,426.204219,232.486375,CON,1868800,2048
290,1483137683.932373, e        ,4.973099,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x5518,0x4f35,Status,10,26,610,1590,0.076923,883.151489,2459.633301,0,0,0,0,0,0,512.352594,193.202422,488.522281,198.938172,CON,1868800,2048
291,1483137685.854939, e        ,4.992501,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xe2c7,0xbf21,Status,14,18,854,1122,0.076923,1270.705811,1698.547607,0,0,0,0,0,0,369.102719,278.976281,459.538281,304.370500,CON,1868800,2048
292,1483137689.449499, e        ,4.452733,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x5f18,0x7c35,Status,10,25,610,1530,0.076923,986.360474,2639.277832,0,0,0,0,0,0,512.371688,199.870406,488.709563,223.350687,CON,1868800,2048
293,1483137691.675314, e        ,4.340196,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xf8c7,0xef21,Status,22,22,1356,1392,0.076923,2386.989014,2449.658936,0,0,0,0,0,0,241.090188,233.070766,392.278563,373.977156,CON,1868800,2048
294,1483137694.573471, e        ,4.360200,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x6918,0xa935,Status,10,25,610,1530,0.076923,1007.293274,2695.289307,0,0,0,0,0,0,512.402906,201.257563,488.804188,264.686094,CON,1868800,2048
295,1483137696.975504, e        ,4.847511,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x0cc8,0x2022,Status,20,23,1248,1452,0.076923,1957.293213,2292.310547,0,0,0,0,0,0,265.206187,254.261656,411.832156,288.751344,CON,1868800,2048
296,1483137699.697296, e        ,4.234701,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x7318,0xd635,Status,10,25,610,1530,0.076923,1037.145264,2775.166260,0,0,0,0,0,0,513.175813,199.933047,488.116156,324.675937,CON,1868800,2048
297,1483137701.844544, e        ,4.999470,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x1cc8,0x4922,Status,16,19,976,1188,0.076923,1464.155151,1801.790894,0,0,0,0,0,0,325.284500,264.263094,440.403094,237.697219,CON,1868800,2048
298,1483137704.828851, e        ,4.993141,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x7d18,0x0436,Status,10,26,610,1590,0.076923,879.606628,2449.760498,0,0,0,0,0,0,514.393500,226.538266,486.436031,359.729094,CON,1868800,2048
299,1483137707.487478, e        ,4.356360,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x2fc8,0x7522,Status,19,20,1166,1260,0.076923,2029.217041,2198.165527,0,0,0,0,0,0,276.171219,249.991203,415.057937,305.036125,CON,1868800,2048
300,1483137709.972938, e        ,4.870592,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x8718,0x3336,Status,10,26,610,1590,0.076923,901.738403,2511.398926,0,0,0,0,0,0,512.553688,193.136078,488.494781,286.339031,CON,1868800,2048
301,1483137712.733541, e        ,4.265740,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x40c8,0x9d22,Status,17,19,1044,1194,0.076923,1843.525391,2122.961182,0,0,0,0,0,0,307.520125,269.235531,433.091187,405.150250,CON,1868800,2048
302,1483137714.883957, e        ,4.997920,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x9118,0x6136,Status,10,26,610,1590,0.076923,878.765564,2447.418213,0,0,0,0,0,0,512.214906,193.782578,488.770594,237.252703,CON,1868800,2048
303,1483137717.960244, e        ,4.283171,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x53c8,0xc922,Status,19,20,1166,1260,0.076923,2063.891357,2235.726562,0,0,0,0,0,0,276.007063,262.323500,415.666125,312.310125,CON,1868800,2048
304,1483137719.931443, e        ,4.960627,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x9b18,0x8e36,Status,10,25,610,1530,0.076923,885.371948,2369.055420,0,0,0,0,0,0,512.791094,200.407719,488.375750,206.094781,CON,1868800,2048
305,1483137722.821423, e        ,4.999961,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x6ac8,0x0023,Status,23,26,1452,1650,0.076923,2222.417480,2539.219971,0,0,0,0,0,0,233.220516,215.984656,392.619500,237.144016,CON,1868800,2048
306,1483137724.931848, e        ,4.953374,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xa518,0xbb36,Status,10,25,610,1530,0.076923,886.668396,2372.524414,0,0,0,0,0,0,516.095500,199.726078,485.307281,207.000141,CON,1868800,2048
307,1483137727.842957, e        ,4.999654,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x7ac8,0x2723,Status,16,19,1004,1194,0.129032,1507.304321,1811.325439,0,0,0,0,0,0,327.195250,264.263750,443.920969,339.657469,CON,1868800,2048
308,1483137729.941053, e        ,4.999738,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xaf18,0xea36,Status,10,26,610,1590,0.076923,878.445984,2446.528076,0,0,0,0,0,0,513.895188,194.444969,487.238187,242.948547,CON,1868800,2048
309,1483137732.923386, e        ,4.919181,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x86c8,0x4c23,Status,12,18,732,1122,0.000000,1091.238647,1723.864258,0,0,0,0,0,0,349.271000,277.787344,448.359562,368.273312,CON,1868800,2048
310,1483137735.648620, e        ,4.253006,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xb918,0x1737,Status,10,25,610,1530,0.076923,1032.681396,2763.222168,0,0,0,0,0,0,512.937500,198.433406,488.105594,299.546125,CON,1868800,2048
311,1483137738.034434, e        ,4.811984,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xa9c8,0x9823,Status,35,36,2254,2316,0.076923,3640.909912,3743.985840,0,0,0,0,0,0,161.238172,138.995859,330.474656,213.515641,CON,1868800,2048
312,1483137740.777809, e        ,4.144750,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xc318,0x4337,Status,10,25,610,1530,0.076923,1059.653809,2835.394043,0,0,0,0,0,0,514.540594,200.830922,486.449719,356.470813,CON,1868800,2048
313,1483137743.677906, e        ,4.259145,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xb9c8,0xbf23,Status,16,19,990,1194,0.076923,1744.951294,2126.248535,0,0,0,0,0,0,328.740750,267.915781,442.953344,382.990781,CON,1868800,2048
314,1483137745.923154, e        ,4.132238,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xcd18,0x7037,Status,10,25,610,1530,0.076923,1062.862305,2843.979492,0,0,0,0,0,0,513.283312,205.313312,487.622406,324.384031,CON,1868800,2048
315,1483137748.937943, e        ,4.221519,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xc7c8,0xe323,Status,14,17,854,1062,0.076923,1502.776611,1895.052490,0,0,0,0,0,0,373.029344,304.936125,462.680906,342.432469,CON,1868800,2048
316,1483137750.826282, e        ,4.994274,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xd718,0x9f37,Status,10,26,610,1590,0.076923,879.407043,2449.204834,0,0,0,0,0,0,514.850187,221.743234,486.772500,271.002156,CON,1868800,2048
317,1483137753.821626, e        ,4.999479,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xd3c8,0x0624,Status,12,17,732,1056,0.076923,1073.711914,1590.565796,0,0,0,0,0,0,426.997250,335.316062,472.661344,250.350359,CON,1868800,2048
318,1483137755.842890, e        ,4.977479,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xe118,0xcc37,Status,10,25,610,1530,0.076923,882.374390,2361.034668,0,0,0,0,0,0,512.495000,199.992516,488.475000,211.759547,CON,1868800,2048
319,1483137758.842528, e        ,4.999290,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xddc8,0x2624,Status,10,16,610,990,0.076923,878.524780,1486.611084,0,0,0,0,0,0,511.915406,313.794562,488.969781,228.230312,CON,1868800,2048
320,1483137760.843307, e        ,4.999321,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xeb18,0xfb37,Status,10,26,610,1590,0.076923,878.519287,2446.732178,0,0,0,0,0,0,512.919000,193.163813,488.216781,200.135297,CON,1868800,2048
321,1483137764.403363, e        ,4.439489,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xeec8,0x4f24,Status,17,19,1044,1194,0.076923,1771.375122,2039.874512,0,0,0,0,0,0,309.448469,263.212312,437.282531,273.745531,CON,1868800,2048
322,1483137765.880166, e        ,4.999660,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xf518,0x2938,Status,10,26,610,1590,0.076923,878.459717,2446.566406,0,0,0,0,0,0,512.524906,193.738391,488.560875,219.721797,CON,1868800,2048
323,1483137769.626743, e        ,4.266789,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x00c9,0x7924,Status,18,20,1112,1260,0.076923,1970.568481,2244.310791,0,0,0,0,0,0,290.573625,252.525594,422.436937,384.298906,CON,1868800,2048
324,1483137770.930480, e        ,4.949472,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xff18,0x5638,Status,10,25,610,1530,0.076923,887.367371,2374.394775,0,0,0,0,0,0,512.833813,200.005047,487.931688,268.544094,CON,1868800,2048
325,1483137774.894136, e        ,4.229415,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x10c9,0xa024,Status,16,18,976,1128,0.076923,1730.735840,2016.354492,0,0,0,0,0,0,326.876188,288.424344,445.028344,362.066281,CON,1868800,2048
326,1483137775.940221, e        ,4.989852,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x0919,0x8538,Status,10,26,610,1590,0.076923,880.186462,2451.375244,0,0,0,0,0,0,512.338594,194.235422,488.845750,320.167625,CON,1868800,2048
327,1483137779.819875, e        ,4.464247,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x1fc9,0xc624,Status,15,18,922,1128,0.076923,1542.925293,1910.288452,0,0,0,0,0,0,344.038063,288.831656,448.736188,267.046969,CON,1868800,2048
328,1483137781.835572, e        ,4.135582,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x1319,0xb138,Status,10,25,610,1530,0.076923,1062.002930,2841.679932,0,0,0,0,0,0,513.614687,201.635922,487.167125,343.564125,CON,1868800,2048
