Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
3000,1483144002.569359, e        ,4.999677,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x58a2,0x30b8,Status,21,11,1264,791,-0.204893,1926.524414,1152.074341,0,0,0,0,0,0,239.142859,540.308188,381.175375,441.293938,CON,1868800,2048
3001,1483144003.568036, e        ,4.978457,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xd5f9,0xb476,Status,10,5,610,330,0.076923,882.201050,424.227844,0,0,0,0,0,0,500.009906,999.999000,478.032375,0.360946,CON,1868800,2048
3002,1483144007.606543, e        ,4.999839,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x6da2,0x3ab8,Status,21,10,1276,725,-0.131498,1945.662720,1044.833740,0,0,0,0,0,0,239.873625,500.022094,380.740719,442.992656,CON,1868800,2048
3003,1483144008.568282, e        ,4.999652,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xdff9,0xba76,Status,10,6,610,396,-0.014085,878.461182,528.036743,0,0,0,0,0,0,499.991094,999.994500,478.013156,0.310622,CON,1868800,2048
3004,1483144012.626794, e        ,4.998975,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x82a2,0x45b8,Status,21,11,1264,804,-0.235294,1926.795044,1169.839844,0,0,0,0,0,0,239.018422,459.676000,381.566375,442.056625,CON,1868800,2048
3005,1483144013.568243, e        ,4.999815,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xe9f9,0xbf76,Status,10,5,610,330,0.076923,878.432495,422.415619,0,0,0,0,0,0,499.998812,1000.024813,478.039250,2.128656,CON,1868800,2048
3006,1483144018.547001, e        ,4.079896,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x96a2,0x4fb8,Status,20,10,1210,725,-0.174603,2254.959473,1280.424805,0,0,0,0,0,0,250.056406,500.111312,386.924344,442.334781,CON,1868800,2048
3007,1483144018.568368, e        ,4.999735,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xf3f9,0xc476,Status,10,5,610,330,0.076923,878.446594,422.422394,0,0,0,0,0,0,500.000094,1000.009000,477.976562,0.351036,CON,1868800,2048
3008,1483144023.547002, e        ,4.079058,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xaaa2,0x59b8,Status,20,10,1210,725,-0.174603,2255.422607,1280.687744,0,0,0,0,0,0,249.958156,499.916812,387.516687,443.256844,CON,1868800,2048
3009,1483144023.568418, e        ,4.999833,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xfdf9,0xc976,Status,10,5,610,330,0.076923,878.429321,422.414093,0,0,0,0,0,0,500.000812,1000.029625,478.031469,0.356596,CON,1868800,2048
