Variable,Value,NX,NXc,NX'c,Nc,N'c,N,P(C),P('C),P(C|X),P(X|C),Epsilon,Score
DstLoad,006,2,0,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.8576,-3.38318
DstLoad,021,100,42,58,823,2238,3061,.26886638353479255145,.73113361646520744855,0.42,0.0510328,3.40874,0.643334
DstLoad,014,9,4,5,823,2238,3061,.26886638353479255145,.73113361646520744855,0.444444,0.00486027,1.18802,0.451971
DstLoad,007,2,0,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.8576,-3.24965
DstLoad,022,79,32,47,823,2238,3061,.26886638353479255145,.73113361646520744855,0.405063,0.0388821,2.73032,0.574287
DstLoad,015,28,12,16,823,2238,3061,.26886638353479255145,.73113361646520744855,0.428571,0.0145808,1.90604,0.597439
DstLoad,023,136,80,56,823,2238,3061,.26886638353479255145,.73113361646520744855,0.588235,0.0972053,8.40031,1.32104
DstLoad,030,36,19,17,823,2238,3061,.26886638353479255145,.73113361646520744855,0.527778,0.0230863,3.50377,1.00141
DstLoad,016,44,27,17,823,2238,3061,.26886638353479255145,.73113361646520744855,0.613636,0.0328068,5.15809,1.35205
DstLoad,009,13,0,13,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-2.18646,-4.72963
DstLoad,024,230,110,120,823,2238,3061,.26886638353479255145,.73113361646520744855,0.478261,0.133657,7.16247,0.89575
DstLoad,017,58,34,24,823,2238,3061,.26886638353479255145,.73113361646520744855,0.586207,0.0413123,5.45096,1.26855
DstLoad,031,41,26,15,823,2238,3061,.26886638353479255145,.73113361646520744855,0.634146,0.0315917,5.27535,1.42561
DstLoad,025,94,54,40,823,2238,3061,.26886638353479255145,.73113361646520744855,0.574468,0.0656136,6.68272,1.25107
DstLoad,032,37,20,17,823,2238,3061,.26886638353479255145,.73113361646520744855,0.540541,0.0243013,3.7272,1.05258
DstLoad,018,69,37,32,823,2238,3061,.26886638353479255145,.73113361646520744855,0.536232,0.0449575,5.00914,1.08472
DstLoad,026,89,46,43,823,2238,3061,.26886638353479255145,.73113361646520744855,0.516854,0.0558931,5.27665,1.02189
DstLoad,019,98,45,53,823,2238,3061,.26886638353479255145,.73113361646520744855,0.459184,0.054678,4.24937,0.79926
DstLoad,033,30,20,10,823,2238,3061,.26886638353479255145,.73113361646520744855,0.666667,0.0243013,4.91427,1.51211
DstLoad,040,2,1,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.5,0.00121507,0.737244,-0.0521365
DstLoad,027,81,40,41,823,2238,3061,.26886638353479255145,.73113361646520744855,0.493827,0.0486027,4.56649,0.927746
DstLoad,034,19,13,6,823,2238,3061,.26886638353479255145,.73113361646520744855,0.684211,0.0157959,4.08337,1.4881
DstLoad,041,1,1,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00121507,1.64904,0.353329
DstLoad,028,96,52,44,823,2238,3061,.26886638353479255145,.73113361646520744855,0.541667,0.0631835,6.02856,1.12239
DstLoad,035,16,9,7,823,2238,3061,.26886638353479255145,.73113361646520744855,0.5625,0.0109356,2.6491,1.00425
