Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin,Anomaly
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,06,12,02,00002,01,006,003,10,008,004,000,000,0,0,000,000,005,010,004,000,01,01,04,0
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,06,01,02,00002,03,006,011,11,008,016,000,000,0,0,000,000,005,002,004,002,01,01,04,0
01,46,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,02,12,02,00002,03,006,009,10,009,014,000,000,0,0,000,000,005,003,004,002,01,01,04,1
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,12,10,02,00002,03,008,011,10,012,018,000,000,0,0,000,000,003,002,004,003,01,01,04,1
01,40,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,03,03,02,00002,04,006,014,10,010,028,000,000,0,0,000,000,005,002,004,002,01,01,04,0
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,04,11,02,00004,05,012,018,08,018,028,000,000,0,0,000,000,002,001,003,002,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,07,07,02,00004,02,012,007,08,019,010,000,000,0,0,000,000,002,005,003,004,01,01,04,0
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,06,01,02,00002,03,006,009,10,008,014,000,000,0,0,000,000,005,003,004,003,01,01,04,1
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,04,12,02,00002,01,006,003,10,008,004,000,000,0,0,000,000,005,010,004,000,01,01,04,0
01,45,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,06,08,02,00002,05,008,016,10,012,028,000,000,0,0,000,000,003,001,004,002,01,01,04,1
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,06,09,02,00004,02,012,007,08,019,010,000,000,0,0,000,000,002,005,003,004,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,09,09,02,00001,05,005,015,09,007,023,000,000,0,0,000,000,004,001,004,003,01,01,04,1
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,05,12,02,00002,01,006,003,10,009,004,000,000,0,0,000,000,004,009,004,000,01,01,04,0
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,02,11,02,00002,04,006,013,11,009,020,000,000,0,0,000,000,005,002,004,002,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,11,09,02,00004,02,012,007,08,018,010,000,000,0,0,000,000,002,005,003,004,01,01,04,0
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,09,06,02,00004,05,012,016,08,018,025,000,000,0,0,000,000,002,002,003,002,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,09,02,02,00004,02,012,007,08,018,010,000,000,0,0,000,000,002,005,003,004,01,01,04,0
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,02,10,02,00002,01,006,003,11,009,004,000,000,0,0,000,000,005,010,004,000,01,01,04,0
